DD/MM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,
01-Ene,23.3,23.2,23,23.4,24,25,26.3,26.8,24.2,24.9,26.4,24,27,26.5,25.4,24,25.9,27.4,26.1,26.3,,
02-Ene,24.3,24.1,,22.5,23.3,24.1,25.4,26.3,23.3,24.8,24.9,25.8,26.8,26.1,25.6,26.5,27.6,24.6,24.7,27.4,,
03-Ene,22.8,23.1,22.5,22.9,24.6,24.7,25.6,26.9,24.3,25.5,25.5,24.8,26.8,24.6,26,26,26.7,24.7,25.4,25.8,,
04-Ene,24.5,23.7,23.3,23.6,24.4,25.9,25.1,24.4,23.3,26.3,26.1,24.1,28.5,26.5,25.2,25.3,27.4,26.7,25.4,27.8,,
05-Ene,23,23.3,25,23.2,23.5,25.3,27,26.4,24.3,26.2,26.1,23.1,30.7,25.9,25.7,25.2,28.4,28.7,26.3,27.4,,
06-Ene,24,24.9,23.9,24.2,25.7,25.4,27.4,26.6,24.9,26.9,27.6,24.8,26.8,25.7,26.5,25.2,27.3,30,25.5,26.5,,
07-Ene,24.2,24.8,24.3,24.4,26.9,26.1,25,26.9,23,27.9,23.7,23.7,26.2,25.2,26.9,25.7,25.5,26.8,25.9,29.4,,
08-Ene,24.6,24.8,24.4,22.6,27.8,26.4,24.9,26.2,24.4,27.5,24.5,23.9,27.5,26.6,27.8,26.1,26.6,25.5,24.5,28.8,,
09-Ene,24.3,25.5,24.2,24.3,26.8,25.9,25.8,27.5,24,25.5,27.2,25.1,25.3,25.1,27.5,25.8,27.8,27.9,26.5,28.2,,
10-Ene,,25.7,23.9,24.3,25,26.7,25.8,27.7,24.8,24.8,25.8,23.7,22.7,25.9,24.9,26.9,27.5,26.7,26.9,26.8,,
11-Ene,24.1,26.2,23.9,24.8,26.4,28.2,25,27.6,,24,24.7,24.7,24.9,26.5,26.3,26,27.4,,25.7,27,,
12-Ene,25.4,25.7,24.5,,26.2,,25.5,26.6,25.6,24.9,26.2,25.9,23.5,26.8,27.4,26.2,28.4,26.5,25.3,26.9,,
13-Ene,24,25.4,24.5,23.6,26.1,26.4,25.5,24.6,27,25,25.9,26.2,26.5,26.9,27.1,24.1,27.8,26.8,25.2,26.8,,
14-Ene,,25.4,25.3,25.5,26.9,25.8,25.5,27.1,25.7,,26.3,27.1,27.8,27.4,27.3,26.3,25.5,26.1,24.9,27.5,,
15-Ene,,24.4,24.3,25,26.1,27.8,24.9,27.1,,27.2,26.5,25.6,26.6,,27.2,26.1,27.6,28.4,25.1,27.4,,
16-Ene,,25.2,25.3,25.1,,27.4,26.5,27.2,26.9,25,24.5,24.8,26.7,27.4,28.2,25.1,28.8,31.7,28.9,24.7,,
17-Ene,,26.3,25,,25.2,29.3,26.6,27.5,27.6,27.5,27.2,24.2,26.2,26.6,28,26.1,28,27.7,24.8,24.7,,
18-Ene,,25,26,25.3,26.4,27.1,26.9,27,25.9,,26.2,27.5,26.1,27,27.2,26.2,27.9,28.3,23.7,25.7,,
19-Ene,,26.4,24.7,25.4,25.8,27.1,26.7,27.2,24.8,25.8,27.5,26.5,26.4,26.5,27.5,27,27.7,28.8,25.5,26.2,,
20-Ene,,25,25.2,25.8,26.6,27.7,27.7,26.3,26.7,27.7,27.2,25,26.3,27.8,25.4,25.6,29.2,29.6,24.6,27,,
21-Ene,,26.6,24.9,24.3,26.3,27.9,27.1,27.1,26.6,26.8,25.7,25.2,28.3,27.2,27.3,26,28.3,30.9,26.7,27.2,,
22-Ene,22.2,24.5,25.1,24.5,26.4,27.1,26.3,27.9,27.2,,25.6,25.8,26.8,27.4,28.8,25.8,28.6,31.6,24.3,27.8,,
23-Ene,24.5,24.8,24.9,25.6,25.8,27.5,25.5,28,27.7,25.1,25.9,26,26.8,27.5,28.7,26.3,26.5,26.9,26.1,27.1,,
24-Ene,,24.2,23.4,26.3,25.6,26.3,24.8,28.5,27.4,26,27.3,25.6,26.1,27.9,28.8,26.5,26.5,28.7,27.8,26.9,,
25-Ene,,24.6,24.4,25.4,24.7,26.5,25.5,28,27.5,27.5,27.9,26.5,24.5,28.4,27.8,26.6,29.2,29.6,27.8,29.1,,
26-Ene,26,25.2,23.2,26.2,25.5,25.3,26,27.3,26.7,26.2,27.7,26.4,26.6,27.6,29.1,26.9,28.7,30.7,26,29.9,,
27-Ene,25,24.6,25,25.6,25.9,23.6,26.9,26.8,24.6,28.2,26.3,27.2,25.6,27,29.3,27.8,28.9,30.3,26.7,29.4,,
28-Ene,24.1,25.1,23.8,25.7,25.7,24.9,25.7,26.5,27.2,26.7,27.2,27.4,25.3,26.1,26.3,28.1,29.9,30.3,25.9,30.8,,
29-Ene,25.4,24.6,25.8,25.4,26.3,25.2,25.8,28.7,25.6,27.9,27.7,28.2,26.2,26.7,26.5,27.3,29.9,30.1,28,30.2,,
30-Ene,28.4,24.9,25.4,26.3,27.1,24.9,24.8,26.2,26.8,27.4,27.5,27.8,26.9,25.6,29.1,26,28.8,30.8,27,30.6,,
31-Ene,30.1,25.1,26.2,26.9,26.5,23.5,26.7,27.8,27.8,27.2,26.8,26.4,26.9,28.3,27.7,27,29.7,29.4,25.4,29.6,,
01-Feb,26.1,25.8,27,27.1,26,24.4,27.2,27.7,29.7,27.9,26.9,27,26.7,28.9,25.2,27.6,28.4,31.3,24,29.8,,
02-Feb,23.6,25.6,26.3,26.7,25.9,24.4,26.4,26.6,26.7,27.3,28,26.8,27.9,27.4,24.2,26.1,29.4,30.1,25.3,29.3,,
03-Feb,27.7,25.6,24.1,26.5,26.7,25.6,26.3,26.9,26.2,28,27.6,26.4,27.7,27.1,26.4,27.5,28.8,29.7,26.2,29.9,,
04-Feb,25.2,,26.6,26.2,26.4,24.5,26.6,26.4,27,27.8,,28,28,29.3,25.8,28.4,28.4,30,27.3,30,,
05-Feb,26,25,24.8,27,27.4,25,,27.1,26.5,28.2,30.2,28.8,25.6,29.3,26.6,29.6,30.4,28.7,26,30.6,,
06-Feb,25,24.3,28.9,26.9,26.4,25.7,26.6,26.9,25.7,26.9,27.8,28.7,25.4,29.5,26.5,27.7,29.3,29.1,27.3,28.6,,
07-Feb,26,25.8,28.1,26.5,26.4,24.1,26.5,30.1,25.5,27.6,29.6,29.2,27.1,28.4,26.1,29.8,29,28.8,27.7,30.4,,
08-Feb,24.8,26.7,26.5,26.6,26.6,,26.6,26.3,26.2,27.5,27,28.5,28.5,29.8,26.3,29,26.2,28.4,27.2,28,,
09-Feb,25.1,25.1,27.5,26.6,26.7,26,27.5,29,25.8,27.9,27.2,29.1,27.7,30.8,26.1,29.7,29.1,29.1,27,28.2,,
10-Feb,23,25.4,27.6,26.2,26.5,24.5,28.4,27.3,27.7,25.6,26.3,26,27.2,29.5,27,29.2,31.1,28.7,25.9,29,,
11-Feb,26,26.1,26.6,25.8,25.8,25.8,25.7,26.8,25.4,27.8,29.3,26.7,26.8,28,27.5,28.4,29,31.9,26.2,28.8,,
12-Feb,25.9,,26.2,26.8,26.4,27.5,27.6,26.6,27.1,27.7,28.2,25.7,27.4,26.8,26.8,28.4,28.6,29.6,27.9,29.9,,
13-Feb,26.4,26.7,25.7,26,26.6,25.5,27.9,26.5,,28.5,29,27.2,28.7,27.7,25.8,27.1,29,28.7,29.5,28.5,,
14-Feb,26.8,28.2,25.5,28.7,27.1,24.6,28.2,27.6,26.2,,28,25.2,28.6,28,25.6,28.7,28.2,29.6,26.5,28.6,,
15-Feb,27,28.2,27.8,28.1,27.7,,27.4,27.2,26.2,29.4,28.8,27.2,28.9,27.6,26.9,26.7,28.3,30.9,27.1,31.3,,
16-Feb,,27.3,26.1,28.3,26.6,25.2,28.1,27,24.7,26.9,27,28,28.1,28.2,26.8,27.7,28.7,29.7,29.4,29.2,,
17-Feb,26.6,27.9,26.1,25.3,26.3,26.5,28.1,28.4,26.7,28.9,27.8,26.3,27.8,27.4,27.2,28.8,29.9,30.2,28.5,29.3,,
18-Feb,26.2,28.6,25.3,26.5,26.1,26.9,28.1,28.5,28.2,29.2,26.6,24.7,28.2,,27.5,28,28.8,28.8,24.5,31.2,,
19-Feb,24.8,29.1,27.7,27.3,25.3,25.9,27.8,27.7,24.1,,27,27,28.4,27.1,27.5,28,29,30.6,29.2,28.9,,
20-Feb,26,29.1,27.8,26.9,27.5,26.8,27.9,27.2,27.1,28.3,27.7,26.8,29.8,26.4,24.8,28.8,30.5,27.7,29.5,30,,
21-Feb,26.4,25.8,29,26.1,27.6,24.4,25.4,29.2,28.1,26.1,26.1,27.5,25,25.2,26.7,30.1,30.3,27.1,26.9,30.4,,
22-Feb,28,27.9,28.9,24.9,26.3,24.6,27.8,27.2,29.7,26.7,26.7,27.2,26.1,27.4,28.8,26.9,29.3,29.9,25.7,26.9,,
23-Feb,28,28.1,30.4,26.8,27.5,25.6,28.1,27.9,32.5,27.3,27.8,25.5,27.7,25.6,25.9,25.6,29.5,30.5,24.3,26.8,,
24-Feb,28.3,26.5,30.4,25.4,26.6,25,27.1,27.5,31.7,28.4,28.5,27.8,28.3,26.9,26.7,25.1,28.1,29.8,28.1,28.7,,
25-Feb,26.3,26.6,30,26.5,26.8,25.1,25.9,24.9,29.8,26.3,28.7,30.5,26.5,27.1,28.1,26.9,30.8,30.8,26,29.2,,
26-Feb,25,28.7,28.3,26,29.4,25.9,28.6,26.9,28.3,29.1,27.3,28.3,25.1,27.5,29.3,27.3,32.3,32.2,25.9,29.4,,
27-Feb,24,28.7,28.7,25.8,27.5,26.2,29.5,27.8,25,,27.9,23.4,27.5,27.8,28.1,29.1,30.8,32,26.2,29,,
28-Feb,25.1,26.6,32.6,24.9,26,27,29.1,26.8,,,26.7,23.3,26.9,27,25.6,27.7,30.6,29.5,23.6,30.6,,
